label,genre,type,id,adv_adj,adv_noun,adv_prn,adj_verb,adj_prn,noun_verb,noun_prn,verb_prn,avg_sentlen,sd_sentlen,avg_word_typetoken,sd_word_typetoken,avg_wordlen,sd_wordlen,avg_punct_typetoken,sd_punct_typetoken,hyphen.quote.ratio,hyphen.exclamation.ratio,quote.question.ratio
0,non_fiction,news,ca01,0.4876033058,0.0830985915,1.2553191489,0.3569321534,2.5744680851,2.0943952802,15.1063829787,7.2127659574,20.622449,10.276301,2.417464,6.320895,4.880257,2.733506,43.444444,43.117697,0.2134831461,19,89
0,non_fiction,news,ca02,0.4031007752,0.0651629073,1.1304347826,0.4623655914,2.8043478261,2.8602150538,17.347826087,6.0652173913,20.877551,10.907089,2.293722,6.129127,4.811339,2.669034,41.5,51.159066,0.4406779661,26,59
0,non_fiction,news,ca03,0.3240223464,0.084057971,1.1836734694,0.6130136986,3.6530612245,2.3630136986,14.0816326531,5.9591836735,18.366071,12.114038,2.620382,6.535827,4.77054,2.576368,38.1,39.302544,0.3918918919,29,24.6666666667
0,non_fiction,news,ca04,0.5652173913,0.1635220126,2.6666666667,0.6092715232,4.7179487179,2.1059602649,16.3076923077,7.7435897436,23.159091,13.474628,2.309173,6.540283,5.129966,2.93401,25.3,30.613886,0.3513513514,13,12.3333333333
0,non_fiction,news,ca05,0.3552631579,0.0818181818,0.6136363636,0.443148688,1.7272727273,1.9241982507,7.5,3.8977272727,24.47619,9.765679,2.748663,7.699985,4.685311,2.552693,46.428571,39.438405,0.4642857143,26,56
0,non_fiction,news,ca06,0.3984962406,0.0731034483,0.5824175824,0.4493243243,1.4615384615,2.4493243243,7.967032967,3.2527472527,20.585859,11.31461,2.506765,6.866609,4.772326,2.735328,50.125,43.184018,0.311827957,29,31
0,non_fiction,news,ca07,0.2426035503,0.0573426573,0.8913043478,0.5451612903,3.6739130435,2.3064516129,15.5434782609,6.7391304348,17.525,10.441075,2.395216,6.411644,4.900143,2.73501,38.6,46.778628,0.6545454545,12,11
0,non_fiction,news,ca08,0.6258064516,0.1603305785,1.701754386,0.5308219178,2.7192982456,2.0719178082,10.6140350877,5.1228070175,20.09901,10.632013,2.478632,7.384138,4.823153,2.776353,24.5,36.821869,2.4166666667,29,4
0,non_fiction,news,ca09,0.53,0.0691906005,1.5142857143,0.3215434084,2.8571428571,2.463022508,21.8857142857,8.8857142857,18.300885,10.578727,2.360731,6.632734,4.757737,2.719087,34,45.958479,0.306122449,15,16.3333333333
0,non_fiction,news,ca10,0.4285714286,0.0817790531,0.7916666667,0.38,1.8472222222,1.9914285714,9.6805555556,4.8611111111,19.358491,11.23773,2.405627,5.902853,4.666667,2.597232,39.636364,48.850929,0.7719298246,44,57
